This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202208 CRSP database.,,,,,,,,
200209,-10.35,3.07,1.47,3.29,-2.19,0.14,9.13,9/1/2002
200210,7.84,-4.3,-3.94,-3.4,0.77,0.14,-5.58,10/1/2002
200211,5.96,2.93,-1.21,-9.21,5.17,0.12,-16.33,11/1/2002
200212,-5.76,0.62,2.14,6.29,-1.68,0.11,9.64,12/1/2002
200301,-2.57,0.72,-0.81,-1,0.71,0.1,1.55,1/1/2003
200302,-1.88,-0.93,-1.38,0.83,-0.61,0.09,1.17,2/1/2003
200303,1.09,0.67,-1.91,1.85,-0.75,0.1,1.48,3/1/2003
200304,8.22,1.04,1.17,-4.7,1.09,0.1,-9.33,4/1/2003
200305,6.05,4.87,0.5,-7.06,2.99,0.09,-10.7,5/1/2003
200306,1.42,1.68,0.15,0.48,-0.35,0.1,-1,6/1/2003
200307,2.35,4.54,-1.24,-4.15,1.77,0.07,-0.24,7/1/2003
200308,2.34,2.48,1.54,-2.24,2.13,0.07,-0.62,8/1/2003
200309,-1.24,0.55,0.15,1,0.35,0.08,-0.19,9/1/2003
200310,6.08,2.71,1.97,-1.35,1.54,0.07,3.99,10/1/2003
200311,1.35,2.33,1.78,0.19,1.8,0.07,1.46,11/1/2003
200312,4.29,-2.49,1.61,0.57,0.94,0.08,-5.57,12/1/2003
200401,2.15,2.45,2.48,-3.67,3.38,0.07,2.58,1/1/2004
200402,1.4,-0.93,0.91,2.18,-1.21,0.06,-1.14,2/1/2004
200403,-1.32,2.1,0.28,1.56,-0.98,0.09,0.17,3/1/2004
200404,-1.83,-2.01,-3.09,3.46,-2.84,0.08,-5.38,4/1/2004
200405,1.17,-0.38,-0.24,-1.18,0.02,0.06,1.5,5/1/2004
200406,1.86,2.56,1.19,1.2,-0.39,0.08,2.05,6/1/2004
200407,-4.06,-2.95,3.23,5.33,-1.66,0.1,-2.29,7/1/2004
200408,0.08,-1.16,1,1.18,-1.44,0.11,-1.59,8/1/2004
200409,1.6,3.27,-0.01,-1.48,-1.89,0.11,5.49,9/1/2004
200410,1.43,0.19,-0.22,-0.52,0.49,0.11,-1.38,10/1/2004
200411,4.54,4.11,1.42,-0.59,-0.21,0.15,3.16,11/1/2004
200412,3.43,-0.05,-0.22,-1.16,0.46,0.16,-2.87,12/1/2004
200501,-2.76,-1.18,2.06,2.73,-1.46,0.16,3.05,1/1/2005
200502,1.89,-0.3,1.53,1.45,-0.05,0.16,3.37,2/1/2005
200503,-1.97,-1.42,2.04,0.47,1.29,0.21,0.41,3/1/2005
200504,-2.61,-3.98,0.06,0.97,-0.94,0.21,-0.69,4/1/2005
200505,3.65,2.79,-0.64,-1,0.3,0.24,0.45,5/1/2005
200506,0.57,3.28,2.82,0.97,-0.51,0.23,2.05,6/1/2005
200507,3.92,2.8,-0.78,-1.22,-0.81,0.24,0.06,7/1/2005
200508,-1.22,-0.89,1.32,-2.05,0.36,0.3,2.08,8/1/2005
200509,0.49,-0.35,0.72,0.27,-0.6,0.29,3.43,9/1/2005
200510,-2.02,-1.45,0.43,-0.94,-1.3,0.27,-1.39,10/1/2005
200511,3.61,0.85,-1.18,-0.74,-1.14,0.31,0.35,11/1/2005
200512,-0.25,-0.21,0.2,0.21,0.23,0.32,0.77,12/1/2005
200601,3.04,5.75,1.08,-0.64,-0.46,0.35,2.53,1/1/2006
200602,-0.3,-0.42,-0.35,-0.51,1.91,0.34,-1.84,2/1/2006
200603,1.46,3.4,0.59,0.09,-0.41,0.37,1.26,3/1/2006
200604,0.73,-0.84,2.34,1.8,0.01,0.36,0.64,4/1/2006
200605,-3.57,-2.85,2.42,1.15,1.46,0.43,-3.7,5/1/2006
200606,-0.35,-0.24,0.85,1.33,-0.07,0.4,1.54,6/1/2006
200607,-0.78,-3.64,2.62,1.63,0.9,0.4,-2.12,7/1/2006
200608,2.03,0.44,-2.06,-1.86,2.09,0.42,-3.38,8/1/2006
200609,1.84,-1.46,0.08,0.82,0.6,0.41,-0.96,9/1/2006
200610,3.23,1.98,-0.3,-0.12,0.28,0.41,-0.2,10/1/2006
200611,1.71,0.71,0.14,0.15,-0.81,0.42,-1.03,11/1/2006
200612,0.87,-0.82,2.73,-0.72,2.06,0.4,0.79,12/1/2006
200701,1.4,0.08,-0.69,0.25,0.38,0.44,0.24,1/1/2007
200702,-1.96,1.28,-0.13,-0.51,-0.71,0.38,-1.35,2/1/2007
200703,0.68,0.19,-0.96,0.64,-0.65,0.43,2.56,3/1/2007
200704,3.49,-2.03,-1.46,1.15,1.04,0.44,-0.24,4/1/2007
200705,3.24,0.4,-0.65,1.58,-1.36,0.41,-0.34,5/1/2007
200706,-1.96,0.75,-1.07,0.53,0.08,0.4,0.51,6/1/2007
200707,-3.73,-2.98,-3.72,0.2,-1.13,0.4,2.94,7/1/2007
200708,0.92,-0.37,-1.86,-1.21,-0.53,0.42,0.1,8/1/2007
200709,3.22,-2.43,-2.23,-0.52,-3.02,0.32,4.63,9/1/2007
200710,1.8,-0.03,-3.05,-0.3,-0.09,0.32,5.02,10/1/2007
200711,-4.83,-3.01,-0.95,1.89,-0.29,0.34,0.99,11/1/2007
200712,-0.87,0.15,-0.54,0.87,-1.04,0.27,6.63,12/1/2007
200801,-6.36,-0.66,3.98,2.14,2.14,0.21,-7.75,1/1/2008
200802,-3.09,-0.66,-0.84,0.88,-0.93,0.13,6.1,2/1/2008
200803,-0.93,0.56,0.3,0.79,0.5,0.17,4.27,3/1/2008
200804,4.6,-1.14,-1.04,1.63,-2.47,0.18,-0.31,4/1/2008
200805,1.86,3.06,-1.49,0.93,-0.06,0.18,3.31,5/1/2008
200806,-8.44,1.15,-2.67,4.96,-0.55,0.17,12.75,6/1/2008
200807,-0.77,3.72,5.42,-1.37,1.08,0.15,-5.13,7/1/2008
200808,1.53,3.46,1.59,1.86,0.84,0.13,-4.02,8/1/2008
200809,-9.24,0.25,5.92,2.41,1.78,0.15,0.28,9/1/2008
200810,-17.23,-3.34,-2.3,3.04,2.05,0.08,7.85,10/1/2008
200811,-7.86,-3.89,-6.31,4.53,2.74,0.03,7.17,11/1/2008
200812,1.74,3.29,0.15,0.06,-1.49,0,-5.09,12/1/2008
200901,-8.12,-2.13,-11.29,0.18,-1.16,0,-2.18,1/1/2009
200902,-10.1,-1.33,-6.95,1.19,-1.02,0.01,4.41,2/1/2009
200903,8.95,0.68,3.48,-2.52,-2.24,0.02,-11.87,3/1/2009
200904,10.18,7.13,5.36,1.31,0.13,0.01,-34.3,4/1/2009
200905,5.21,-2.32,0.27,-0.78,-2.16,0,-12.49,5/1/2009
200906,0.43,2.29,-2.73,-1.41,-0.33,0.01,5.48,6/1/2009
200907,7.72,2.39,4.84,-0.46,3.14,0.01,-5.55,7/1/2009
200908,3.33,-0.09,7.63,-3.02,3.34,0.01,-9.07,8/1/2009
200909,4.08,2.73,1.04,1.31,0.35,0.01,-4.79,9/1/2009
200910,-2.59,-4.93,-4.2,4.17,-1.49,0,2.61,10/1/2009
200911,5.56,-2.68,-0.34,1,0.12,0,0.3,11/1/2009
200912,2.75,6.23,-0.17,1.02,-0.09,0.01,3.01,12/1/2009
201001,-3.36,0.34,0.43,-1.27,0.46,0,-5.4,1/1/2010
201002,3.4,1.51,3.23,-0.27,1.43,0,3.74,2/1/2010
201003,6.31,1.85,2.21,-0.65,1.69,0.01,3.76,3/1/2010
201004,2,4.98,2.89,0.69,1.72,0.01,3.16,4/1/2010
201005,-7.89,0.04,-2.44,1.3,-0.22,0.01,-0.25,5/1/2010
201006,-5.57,-2.47,-4.7,-0.16,-1.55,0.01,-2.76,6/1/2010
201007,6.93,0.14,-0.33,0.27,1.98,0.01,1.88,7/1/2010
201008,-4.77,-3.13,-1.93,0.58,-1.61,0.01,-0.06,8/1/2010
201009,9.54,3.77,-3.18,-0.18,0.36,0.01,1.41,9/1/2010
201010,3.88,0.86,-2.51,1.31,-0.33,0.01,1.58,10/1/2010
201011,0.6,3.64,-0.92,0.38,1.63,0.01,2.66,11/1/2010
201012,6.82,0.99,3.76,-3.52,3.21,0.01,-3.03,12/1/2010
201101,1.99,-2.38,0.75,-0.65,0.77,0.01,-0.29,1/1/2011
201102,3.49,1.65,1.27,-1.93,0.87,0.01,1.99,2/1/2011
201103,0.46,2.63,-1.85,1.8,-0.05,0.01,3.4,3/1/2011
201104,2.9,-0.5,-2.49,1.11,-0.86,0,0.04,4/1/2011
201105,-1.27,-0.71,-2,1.91,-1.5,0,-0.62,5/1/2011
201106,-1.75,0.13,-0.39,2.43,-1.51,0,1.78,6/1/2011
201107,-2.35,-1.2,-0.9,2.68,-1.82,0,0.18,7/1/2011
201108,-5.99,-3.2,-2.36,3.3,-0.38,0.01,-0.28,8/1/2011
201109,-7.59,-3.65,-1.72,2.04,0.26,0,-2.42,9/1/2011
201110,11.35,3.46,0.1,-2.16,-0.86,0,-1.43,10/1/2011
201111,-0.28,-0.27,-0.45,1.86,1.49,0,3.84,11/1/2011
201112,0.74,-0.33,1.63,0.98,2.51,0,1.81,12/1/2011
201201,5.05,2.05,-0.97,-2.01,-1.43,0,-7.91,1/1/2012
201202,4.42,-1.7,0.43,-0.48,-0.01,0,-0.29,2/1/2012
201203,3.11,-0.47,1.14,-0.54,0.74,0,1.3,3/1/2012
201204,-0.85,-0.55,-0.78,1.3,0.65,0,3.75,4/1/2012
201205,-6.19,-0.12,-1.06,2.08,2.32,0.01,6.49,5/1/2012
201206,3.89,0.84,0.62,-1.09,0.46,0,-1.06,6/1/2012
201207,0.79,-2.8,-0.02,1.1,0.09,0,3.04,7/1/2012
201208,2.55,0.45,1.3,-1.33,-0.86,0.01,-2.37,8/1/2012
201209,2.73,0.61,1.6,-1.49,1.54,0.01,-1.14,9/1/2012
201210,-1.76,-0.9,3.59,-1.34,2.51,0.01,0.14,10/1/2012
201211,0.78,0.47,-0.84,0.6,0.84,0.01,0.49,11/1/2012
201212,1.18,1.91,3.51,-1.85,0.88,0.01,-2.86,12/1/2012
201301,5.57,0.47,0.96,-1.93,1.42,0,-1.79,1/1/2013
201302,1.29,-0.25,0.11,-0.67,0.54,0,1.29,2/1/2013
201303,4.03,0.86,-0.19,0.14,1.37,0,1.92,3/1/2013
201304,1.55,-2.25,0.45,0.27,0.37,0,0.22,4/1/2013
201305,2.8,2.09,2.63,-1.97,-0.91,0,-2.02,5/1/2013
201306,-1.2,1.56,0.03,-0.38,0.01,0,0.52,6/1/2013
201307,5.65,1.8,0.57,-1.35,0.52,0,1.76,7/1/2013
201308,-2.71,-0.06,-2.69,0.66,-2.16,0,0.02,8/1/2013
201309,3.77,2.66,-1.22,-0.58,-1.4,0,3.06,9/1/2013
201310,4.18,-1.51,1.25,2.78,0.92,0,0.08,10/1/2013
201311,3.13,1.4,0.32,0.14,0.05,0,0.44,11/1/2013
201312,2.81,-0.44,-0.02,-0.46,0.08,0,0.02,12/1/2013
201401,-3.32,0.58,-2.07,-3.88,-1.43,0,1.71,1/1/2014
201402,4.65,0.16,-0.31,-0.23,-0.47,0,2.07,2/1/2014
201403,0.43,-1.13,4.93,2.13,1.98,0,-3.29,3/1/2014
201404,-0.19,-4.14,1.17,3.48,1.04,0,-3.89,4/1/2014
201405,2.06,-1.89,-0.13,0.05,-1.01,0,0.87,5/1/2014
201406,2.61,3.1,-0.7,-1.89,-1.98,0,0.69,6/1/2014
201407,-2.04,-4.29,0.03,0.88,0.51,0,-0.12,7/1/2014
201408,4.24,0.31,-0.45,-0.63,-0.69,0,0.82,8/1/2014
201409,-1.97,-3.73,-1.34,1.31,-0.49,0,0.5,9/1/2014
201410,2.52,3.72,-1.81,-0.55,-0.09,0,-0.06,10/1/2014
201411,2.55,-2.28,-3.09,1.5,0.26,0,0.69,11/1/2014
201412,-0.06,2.86,2.27,-1.22,0.96,0,1.12,12/1/2014
201501,-3.11,-0.91,-3.58,1.6,-1.66,0,3.84,1/1/2015
201502,6.13,0.31,-1.86,-1.1,-1.79,0,-2.82,2/1/2015
201503,-1.12,3.07,-0.37,0.09,-0.51,0,2.74,3/1/2015
201504,0.59,-3.06,1.82,0.02,-0.65,0,-7.27,4/1/2015
201505,1.36,0.82,-1.14,-1.78,-0.72,0,5.82,5/1/2015
201506,-1.53,2.89,-0.79,0.45,-1.57,0,3.01,6/1/2015
201507,1.54,-4.58,-4.13,0.31,-2.46,0,9.98,7/1/2015
201508,-6.04,0.24,2.77,0.69,1.24,0,-2.09,8/1/2015
201509,-3.07,-2.8,0.56,1.8,-0.6,0,5.22,9/1/2015
201510,7.75,-2.05,-0.46,0.86,0.55,0,-3.28,10/1/2015
201511,0.56,3.29,-0.42,-2.71,-1.03,0,2.28,11/1/2015
201512,-2.17,-2.97,-2.61,0.45,0.03,0.01,3.36,12/1/2015
201601,-5.77,-3.48,2.09,2.8,3.07,0.01,1.44,1/1/2016
201602,-0.07,0.85,-0.57,3.28,1.99,0.02,-4.38,2/1/2016
201603,6.96,1.08,1.19,0.76,-0.04,0.02,-5.01,3/1/2016
201604,0.91,1.22,3.28,-2.92,1.86,0.01,-6.02,4/1/2016
201605,1.78,-0.62,-1.66,-1.07,-2.49,0.01,1.42,5/1/2016
201606,-0.05,0.44,-1.48,1.39,1.91,0.02,4.13,6/1/2016
201607,3.95,2.49,-1.27,1.25,-1.19,0.02,-3.34,7/1/2016
201608,0.49,1.7,3.13,-1.88,-0.34,0.02,-3.49,8/1/2016
201609,0.25,1.86,-1.23,-2.23,0.03,0.02,0.19,9/1/2016
201610,-2.02,-4.04,4.12,0.96,0.28,0.02,0.6,10/1/2016
201611,4.86,7.04,8.19,-0.21,3.69,0.01,-4.62,11/1/2016
201612,1.81,0.39,3.56,1.23,-0.22,0.03,-0.26,12/1/2016
201701,1.94,-1.43,-2.76,-0.5,-0.99,0.04,-0.93,1/1/2017
201702,3.57,-2.21,-1.68,0.45,-1.83,0.04,-1.65,2/1/2017
201703,0.17,0.74,-3.32,0.62,-0.94,0.03,-1.02,3/1/2017
201704,1.09,0.47,-2.1,1.91,-1.6,0.05,0.48,4/1/2017
201705,1.06,-3.03,-3.78,0.95,-1.81,0.06,1.48,5/1/2017
201706,0.78,2.57,1.48,-2.25,0.01,0.06,-0.09,6/1/2017
201707,1.87,-1.66,-0.24,-0.69,-0.12,0.07,1.68,7/1/2017
201708,0.16,-1.82,-2.09,0.15,-2.37,0.09,3.26,8/1/2017
201709,2.51,4.77,3.12,-1.46,1.68,0.09,-1.32,9/1/2017
201710,2.25,-1.93,0.21,0.92,-3.24,0.09,4.27,10/1/2017
201711,3.12,-0.36,-0.08,3.19,-0.07,0.08,-0.87,11/1/2017
201712,1.06,-1.07,0.05,0.74,1.66,0.09,-1.54,12/1/2017
201801,5.57,-3.21,-1.33,-0.72,-1,0.12,4.05,1/1/2018
201802,-3.65,0.31,-1.07,0.54,-2.39,0.11,3.58,2/1/2018
201803,-2.35,3.58,-0.23,-0.46,0,0.11,-1.13,3/1/2018
201804,0.28,0.93,0.54,-2.43,1.27,0.14,0.36,4/1/2018
201805,2.65,4.74,-3.18,-2.04,-1.47,0.14,3.89,5/1/2018
201806,0.48,0.81,-2.33,0.79,0.24,0.14,-2.35,6/1/2018
201807,3.19,-1.93,0.47,1.56,0.35,0.16,-1.41,7/1/2018
201808,3.44,0.63,-3.99,-0.29,-2.65,0.16,5.29,8/1/2018
201809,0.06,-2.49,-1.69,0.64,1.3,0.15,0.04,9/1/2018
201810,-7.68,-4.45,3.44,0.93,3.59,0.19,-2,10/1/2018
201811,1.69,-0.77,0.27,-0.55,0.37,0.18,-1.37,11/1/2018
201812,-9.57,-2.88,-1.86,-0.02,0.22,0.2,2.11,12/1/2018
201901,8.4,3.02,-0.45,-0.79,-1.51,0.21,-8.68,1/1/2019
201902,3.4,1.74,-2.68,0.12,-1.6,0.18,0.86,2/1/2019
201903,1.1,-3.5,-4.1,0.89,-0.96,0.19,2.21,3/1/2019
201904,3.97,-1.17,2.14,1.61,-2.2,0.21,-2.97,4/1/2019
201905,-6.94,-1.58,-2.34,-0.47,1.75,0.21,7.56,5/1/2019
201906,6.93,0.36,-0.72,0.91,-0.43,0.18,-2.3,6/1/2019
201907,1.19,-1.78,0.47,-0.07,0.37,0.19,2.89,7/1/2019
201908,-2.58,-3.23,-4.76,0.55,-0.69,0.16,6.92,8/1/2019
201909,1.43,0.27,6.74,1.84,3.36,0.18,-6.81,9/1/2019
201910,2.06,0.26,-1.92,0.44,-0.96,0.16,0.15,10/1/2019
201911,3.87,0.44,-2.01,-1.59,-1.25,0.12,-2.66,11/1/2019
201912,2.77,0.97,1.76,0,1.23,0.14,-1.77,12/1/2019
202001,-0.11,-4.37,-6.22,-1.18,-2.32,0.13,5.98,1/1/2020
202002,-8.13,0.03,-3.79,-1.47,-2.51,0.12,-0.4,2/1/2020
202003,-13.39,-8.31,-13.97,-1.5,1.26,0.13,7.97,3/1/2020
202004,13.65,2.59,-1.23,2.7,-1.01,0,-5.23,4/1/2020
202005,5.58,1.98,-4.89,0.95,-3.25,0.01,0.42,5/1/2020
202006,2.46,1.97,-2.17,0.09,0.53,0.01,-0.73,6/1/2020
202007,5.77,-3.2,-1.38,0.41,0.96,0.01,7.61,7/1/2020
202008,7.63,-0.89,-2.95,4.26,-1.2,0.01,0.55,8/1/2020
202009,-3.63,0.02,-2.68,-1.4,-1.89,0.01,3.14,9/1/2020
202010,-2.1,4.64,4.21,-0.75,-0.76,0.01,-3.04,10/1/2020
202011,12.47,7.12,2.14,-2.21,1.37,0.01,-12.43,11/1/2020
202012,4.63,4.79,-1.51,-1.98,-0.11,0.01,-2.32,12/1/2020
202101,-0.03,6.91,2.96,-3.8,4.9,0.01,4.5,1/1/2021
202102,2.78,4.53,7.18,0.3,-1.94,0,-7.89,2/1/2021
202103,3.08,-0.86,7.4,6.46,3.41,0,-6.14,3/1/2021
202104,4.93,-3.15,-0.94,2.48,-2.69,0,1.1,4/1/2021
202105,0.29,1.23,7.08,2.53,3.01,0,0.88,5/1/2021
202106,2.75,-0.34,-7.82,-2.18,-0.95,0,2.19,6/1/2021
202107,1.27,-4.62,-1.76,5.49,-0.48,0,-2.24,7/1/2021
202108,2.91,-0.67,-0.16,-0.3,-1.76,0,2.53,8/1/2021
202109,-4.37,1.14,5.08,-1.9,2.14,0,1.5,9/1/2021
202110,6.65,-2.7,-0.48,1.68,-1.44,0,3.2,10/1/2021
202111,-1.55,-1.76,-0.44,7.22,1.74,0,0.9,11/1/2021
202112,3.1,-0.77,3.28,4.92,4.43,0.01,-2.6,12/1/2021
202201,-6.25,-4.05,12.75,0.87,7.71,0,-2.59,1/1/2022
202202,-2.29,2.96,3.04,-2.08,3.13,0,1.76,2/1/2022
202203,3.05,-2.15,-1.8,-1.56,3.17,0.01,3,3/1/2022
202204,-9.46,-0.4,6.19,3.63,5.92,0.01,4.89,4/1/2022
202205,-0.34,-0.06,8.41,1.44,3.98,0.03,2.48,5/1/2022
202206,-8.43,1.3,-5.97,1.85,-4.7,0.06,0.79,6/1/2022
202207,9.57,1.87,-4.1,0.68,-6.94,0.08,-3.96,7/1/2022
202208,-3.78,1.51,0.31,-4.8,1.31,0.19,2.09,8/1/2022
